# Elements 1e+06
[00000.176 ms] [1.644725] multiplySeq
[00001.465 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=4]
[00001.467 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=6]
[00001.466 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=8]
[00001.494 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=12]
[00001.488 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=16]
[00001.502 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=24]
[00001.523 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=32]
[00001.525 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=48]
[00001.500 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=64]
[00001.462 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=1]
[00001.462 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=2]
[00001.461 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=3]
[00001.462 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=4]
[00001.472 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=6]
[00001.480 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=8]
[00001.491 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=12]
[00001.489 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=16]
[00001.502 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=24]
[00001.516 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=32]
[00001.518 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=48]
[00001.496 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=64]
[00001.468 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=1]
[00001.469 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=2]
[00001.455 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=3]
[00001.471 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=4]
[00001.474 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=6]
[00001.483 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=8]
[00001.493 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=12]
[00001.490 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=16]
[00001.501 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=24]
[00001.514 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=32]
[00001.508 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=48]
[00001.492 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=64]
[00001.474 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=1]
[00001.461 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=2]
[00001.454 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=3]
[00001.470 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=4]
[00001.477 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=6]
[00001.485 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=8]
[00001.493 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=12]
[00001.487 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=16]
[00001.498 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=24]
[00001.508 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=32]
[00001.500 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=48]
[00001.491 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=64]

# Elements 1e+09
[00256.370 ms] [1.644725] multiplySeq
[00015.905 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=1]
[00015.800 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=2]
[00015.815 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=3]
[00015.846 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=4]
[00015.829 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=6]
[00015.843 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=8]
[00015.834 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=12]
[00015.856 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=16]
[00015.856 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=24]
[00015.820 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=32]
[00015.827 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=48]
[00015.831 ms] [1.644725] multiplyCuda<<<auto, 32>>> [thread-duty=64]
[00014.941 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=1]
[00014.937 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=2]
[00014.938 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=3]
[00014.934 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=4]
[00014.943 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=6]
[00014.948 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=8]
[00014.939 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=12]
[00014.941 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=16]
[00014.942 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=24]
[00014.939 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=32]
[00014.931 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=48]
[00014.933 ms] [1.644725] multiplyCuda<<<auto, 64>>> [thread-duty=64]
[00014.812 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=1]
[00014.805 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=2]
[00014.810 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=3]
[00014.801 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=4]
[00014.812 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=6]
[00014.796 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=8]
[00014.806 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=12]
[00014.801 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=16]
[00014.796 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=24]
[00014.812 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=32]
[00014.809 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=48]
[00014.805 ms] [1.644725] multiplyCuda<<<auto, 128>>> [thread-duty=64]
[00014.527 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=1]
[00014.526 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=2]
[00014.525 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=3]
[00014.527 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=4]
[00014.532 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=6]
[00014.526 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=8]
[00014.529 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=12]
[00014.529 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=16]
[00014.523 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=24]
[00014.523 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=32]
[00014.530 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=48]
[00014.864 ms] [1.644725] multiplyCuda<<<auto, 256>>> [thread-duty=64]
[00014.967 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=1]
[00014.950 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=2]
[00014.951 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=3]
[00014.947 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=4]
[00014.945 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=6]
[00014.951 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=8]
[00014.949 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=12]
[00014.951 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=16]
[00014.954 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=24]
