elements,time,sum,technique,grid_limit,block_size,sol_sm_percent,sol_memory_percent
"1000000000","15.286","1.644725","multiplyCuda","2048","512","6.22","88.66"
"1000000000","14.966","1.644725","multiplyCuda","2048","1024","6.38","90.51"
"1000000000","17.428","1.644725","multiplyCuda","4096","32","5.24","74.79"
"1000000000","16.449","1.644725","multiplyCuda","4096","64","5.59","79.66"
"1000000000","16.333","1.644725","multiplyCuda","4096","128","5.68","80.94"
"1000000000","15.28","1.644725","multiplyCuda","4096","256","6.23","88.8"
"1000000000","14.963","1.644725","multiplyCuda","4096","512","6.35","90.35"
"1000000000","14.966","1.644725","multiplyCuda","4096","1024","6.39","90.54"
"1000000000","17.452","1.644725","multiplyCuda","8192","32","5.29","75.43"
"1000000000","16.389","1.644725","multiplyCuda","8192","64","5.64","80.46"
"1000000000","15.245","1.644725","multiplyCuda","8192","128","6.23","88.76"
"1000000000","14.981","1.644725","multiplyCuda","8192","256","6.35","90.39"
"1000000000","14.915","1.644725","multiplyCuda","8192","512","6.38","90.76"
"1000000000","14.742","1.644725","multiplyCuda","8192","1024","6.43","91.13"
"1000000000","16.345","1.644725","multiplyCuda","16384","32","5.68","81.01"
"1000000000","15.224","1.644725","multiplyCuda","16384","64","6.18","87.99"
"1000000000","14.988","1.644725","multiplyCuda","16384","128","6.32","89.98"
"1000000000","14.989","1.644725","multiplyCuda","16384","256","6.36","90.41"
"1000000000","14.764","1.644725","multiplyCuda","16384","512","6.42","91.05"
"1000000000","14.568","1.644725","multiplyCuda","16384","1024","6.53","92.13"
"1000000000","15.97","1.644725","multiplyCuda","32768","32","5.89","83.94"
"1000000000","15.009","1.644725","multiplyCuda","32768","64","6.29","89.61"
"1000000000","14.963","1.644725","multiplyCuda","32768","128","6.37","90.2"
"1000000000","14.816","1.644725","multiplyCuda","32768","256","6.43","91.16"
"1000000000","14.594","1.644725","multiplyCuda","32768","512","6.53","92.11"
"1000000000","14.947","1.644725","multiplyCuda","32768","1024","6.45","89.89"
